CÔNG TY CỔ PHẦN DILIGO,,,,,,,,,,,,,,,,,,,,,,,
ĐT: (+84) 24 3795 5333 / 336,,,,,,,,,,,,,,,,,,,,,,,
"Đ/c: Tầng 2, Toà nhà N03T5, Khu Đoàn ngoại giao, Phường Xuân Tảo, Quận Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
BÁO CÁO NHẬP XUẤT TỒN,,,,,,,,,,,,,,,,,,,,,,,
Từ ngày : 01/09/2025         đến ngày : 30/09/2025,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
STT,Mã kho,Tên kho,Mã hàng,Tên hàng,ĐVT,Tồn đầu kỳ,,,,Nhập trong kỳ,,,,,Xuất trong kỳ,,,,,Tồn cuối kỳ,,,
,,,,,,Số lượng,SL chẵn,SL lẻ,Giá trị,Số lượng,SL chẵn,SL lẻ,Giá trị,Giá trị nhập,Số lượng,SL chẵn,SL lẻ,Giá trị,Giá trị bán,Số lượng,SL chẵn,SL lẻ,Giá trị
7.36,Chính Anh,NPP Chính Anh - Thường Tín,421200003,Khăn ướt Niva 30 tờ,Gói,240,0,240,"1,549,200",0,0,0,0,0,0,0,0,0,0,240,0,240,"1,549,200"
7.37,Chính Anh,NPP Chính Anh - Thường Tín,421200006,Khăn ướt Niva 100 tờ,Gói,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.38,Chính Anh,NPP Chính Anh - Thường Tín,421200010,Khăn ướt Niva Baby 80 tờ NB1,Gói,48,0,48,"944,448",0,0,0,0,0,0,0,0,0,0,48,0,48,"944,448"
7.39,Chính Anh,NPP Chính Anh - Thường Tín,422000016,Khẩu trang y tế 4 lớp hộp 50 cái,Hộp,14,0,14,"526,666",0,0,0,0,0,0,0,0,0,0,14,0,14,"526,666"
Tổng cộng:,,,,,,"2,989",0,"2,989","63,160,303",0,0,0,0,0,0,0,0,0,0,"2,989",0,"2,989","63,160,303"
8.1,Chính Anh KM,NPP Chính Anh - Thường Tín KM,401000002,Túi zipper người lớn 100 que nhựa AZ2,Túi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,Chính Anh KM,NPP Chính Anh - Thường Tín KM,401000003,Túi zipper người lớn 200 que nhựa AZ3,Túi,309,0,309,"3,427,119",0,0,0,0,0,0,0,0,0,0,309,0,309,"3,427,119"
8.3,Chính Anh KM,NPP Chính Anh - Thường Tín KM,401000005,Hũ xoay người lớn 200 que nhựa AH2,Hũ,27,0,27,"500,013",0,0,0,0,0,0,0,0,0,0,27,0,27,"500,013"
8.4,Chính Anh KM,NPP Chính Anh - Thường Tín KM,401000006,Hũ xoay trẻ em 150 que nhựa BH1,Hũ,6,0,6,"88,890",0,0,0,0,0,0,0,0,0,0,6,0,6,"88,890"
8.5,Chính Anh KM,NPP Chính Anh - Thường Tín KM,401000008,Hũ xoay người lớn 200 que giấy AJ2,Hũ,7,0,7,"176,946",0,0,0,0,0,0,0,0,0,0,7,0,7,"176,946"
8.6,Chính Anh KM,NPP Chính Anh - Thường Tín KM,401000025,Túi zipper người lớn 100 que giấy AZP2,Túi,48,0,48,"582,240",0,0,0,0,0,0,0,0,0,0,48,0,48,"582,240"
8.7,Chính Anh KM,NPP Chính Anh - Thường Tín KM,401000026,Túi zipper người lớn 200 que giấy AZP3,Túi,8,0,8,"166,664",0,0,0,0,0,0,0,0,0,0,8,0,8,"166,664"
8.8,Chính Anh KM,NPP Chính Anh - Thường Tín KM,401000034,Hũ xoay trẻ em 200 que giấy BHP1,Hũ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
